first_name,last_name,club,position,base_salary,guaranteed_comp
Adrian,Gill,Atlanta United,Central Midfield,88025.0,88025.0
Adyn,Torres,Atlanta United,Defensive Midfield,120000.0,120000.0
Ajani,Fortune,Atlanta United,Central Midfield,120000.0,120000.0
Aleksey,Miranchuk,Atlanta United,Attacking Midfield,3800000.0,5085441.0
Ashton,Gordon,Atlanta United,Right Wing,88025.0,88025.0
Cayman,Togashi,Atlanta United,Center Forward,113400.0,113400.0
Cooper,Sanchez,Atlanta United,Central Midfield,88025.0,88025.0
Dominik,Chong Qui,Atlanta United,Left-back,88025.0,88025.0
Elías,Báez,Atlanta United,Left-back,264706.0,293706.0
Emmanuel,Latte Lath,Atlanta United,Center Forward,3240000.0,3736000.0
Enea,Mihaj,Atlanta United,Center-back,1215000.0,1557000.0
Fafà,Picault,Atlanta United,Left Wing,113400.0,142250.0
Jayden,Hibbert,Atlanta United,Goalkeeper,113400.0,113400.0
Juan,Berrocal,Atlanta United,Center-back,1424666.64,1424666.64
Lucas,Hoyos,Atlanta United,Goalkeeper,315000.0,342667.0
Luke,Brennan,Atlanta United,Right Midfield,125000.0,125000.0
Matías,Galarza,Atlanta United,Central Midfield,720000.0,945413.0
Matthew,Edwards,Atlanta United,Center-back,113400.0,113400.0
Miguel,Almirón,Atlanta United,Right Wing,6056000.0,7871000.0
Pedro,Amador,Atlanta United,Left-back,256992.0,292604.0
Ronald,Hernández,Atlanta United,Right-back,145000.0,159000.0
Saba,Lobjanidze,Atlanta United,Left Wing,900000.0,998750.0
Santiago,Pita,Atlanta United,Attacking Midfield,88025.0,88025.0
Sergio,Santos,Atlanta United,Center Forward,113400.0,171000.0
Steven,Alzate,Atlanta United,Central Midfield,1062186.0,1377087.0
Stian,Gregersen,Atlanta United,Center-back,850000.0,970000.0
Tomás,Jacob,Atlanta United,Center-back,525000.0,642500.0
Tristan,Muyumba,Atlanta United,Defensive Midfield,600000.0,641600.0
Will,Reilly,Atlanta United,Central Midfield,88025.0,88025.0
Besard,Šabović,Austin FC,Central Midfield,650000.0,650000.0
Brad,Stuver,Austin FC,Goalkeeper,600000.0,631667.0
Brandon,Vazquez,Austin FC,Center Forward,3350000.0,3701778.0
Brendan,Hines-Ike,Austin FC,Center-back,375000.0,375000.0
Christian,Ramirez,Austin FC,Center Forward,525000.0,577500.0
CJ,Fodrey,Austin FC,Left Wing,120000.0,120000.0
Damian,Las,Austin FC,Goalkeeper,175000.0,175000.0
Daniel,Pereira,Austin FC,Central Midfield,750000.0,793750.0
Ervin,Torres,Austin FC,Central Midfield,88025.0,104525.0
Facundo,Torres,Austin FC,Right Wing,3360000.0,4405000.0
Guilherme,da Trindade Dubas,Austin FC,Left-back,325000.0,325000.0
Ilie,Sánchez,Austin FC,Defensive Midfield,225000.0,225000.0
Jayden,Nelson,Austin FC,Left Wing,499999.92,554000.0
Jon,Gallagher,Austin FC,Right-back,400000.0,400000.0
Jon,Bell,Austin FC,Center-back,225000.0,225000.0
Joseph,Rosales,Austin FC,Left-back,500000.0,529875.0
Mateja,Djordjević,Austin FC,Center-back,325000.0,335000.0
Micah,Burton,Austin FC,Attacking Midfield,125000.0,136000.0
Mikkel,Desler,Austin FC,Right-back,550000.0,550000.0
Myrto,Uzuni,Austin FC,Left Wing,1600000.0,2305000.0
Nicolás,Dubersarsky,Austin FC,Central Midfield,325000.0,347986.0
Oleksandr,Svatok,Austin FC,Center-back,575000.0,580000.0
Owen,Wolff,Austin FC,Central Midfield,750000.0,750000.0
Riley,Thomas,Austin FC,Right-back,88025.0,88025.0
Robert,Taylor,Austin FC,Left Wing,575000.0,633333.0
Žan,Kolmanič,Austin FC,Left-back,375000.0,375000.0
Aleksandr,Guboglo,CF Montreal,Right-back,88025.0,93714.0
Bode,Hidalgo,CF Montreal,Right-back,290000.0,320800.0
Brandan,Craig,CF Montreal,Center-back,88025.0,97830.0
Brayan,Vera,CF Montreal,Center-back,650000.0,748000.0
Dagur Dan,Thórhallsson,CF Montreal,Right-back,480000.0,530625.0
Daniel,Ríos,CF Montreal,Center Forward,225000.0,237066.0
Dawid,Bugaj,CF Montreal,Right-back,240000.0,267600.0
Efraín,Morales,CF Montreal,Center-back,400000.0,451250.0
Emil,Gazdov,CF Montreal,Goalkeeper,88025.0,96172.0
Fabian,Herbers,CF Montreal,Right Wing,400000.0,440000.0
Félix,Samson,CF Montreal,Center-back,88025.0,91740.0
Gennadiy,Synchuk,CF Montreal,Right Wing,600000.0,606000.0
Ivan,Losenko,CF Montreal,Central Midfield,210000.0,248000.0
Iván,Jaime,CF Montreal,Attacking Midfield,1920000.0,2111200.0
Jalen,Neal,CF Montreal,Center-back,675000.0,756250.0
Josh,Nteziryayo,CF Montreal,Defensive Midfield,88025.0,91120.0
Luca,Petrasso,CF Montreal,Left-back,119600.0,134736.0
Mahala,Opoku,CF Montreal,Right Wing,583333.0,723560.0
Matty,Longstaff,CF Montreal,Central Midfield,416000.0,435869.0
Noah,Streit,CF Montreal,Right Wing,400000.0,451333.0
Olger,Escobar,CF Montreal,Attacking Midfield,88025.0,93421.0
Owen,Graham-Roache,CF Montreal,Center Forward,88025.0,93915.0
Prince,Owusu,CF Montreal,Center Forward,1300000.0,1330000.0
Samsy,Keita,CF Montreal,Goalkeeper,88025.0,102637.0
Samuel,Piette,CF Montreal,Defensive Midfield,535250.0,621016.0
Sébastian,Breza,CF Montreal,Goalkeeper,113400.0,123400.0
Sunusi,Ibrahim,CF Montreal,Center Forward,350000.0,410000.0
Thomas,Gillier,CF Montreal,Goalkeeper,445000.0,487000.0
Tomás,Avilés,CF Montreal,Center-back,495000.0,522500.0
Victor,Loturi,CF Montreal,Central Midfield,135000.0,146500.0
Wikelman,Carmona,CF Montreal,Attacking Midfield,550000.0,555000.0
Andrew,Johnson,Charlotte FC,Center-back,88025.0,89309.0
Andrew,Privett,Charlotte FC,Center-back,250000.0,281400.0
Archie,Goodwin,Charlotte FC,Center Forward,325000.0,366187.0
Ashley,Westwood,Charlotte FC,Defensive Midfield,800000.0,833333.0
Baye,Coulibaly,Charlotte FC,Central Midfield,300000.0,329500.0
Brandt,Bronico,Charlotte FC,Central Midfield,500000.0,551667.0
Brian,Romero,Charlotte FC,Right Wing,175000.0,185833.0
Chituru,Odunze,Charlotte FC,Goalkeeper,125000.0,138508.0
David,Schnegg,Charlotte FC,Left-back,650000.0,756250.0
Djibril,Diani,Charlotte FC,Defensive Midfield,350000.0,387944.0
Harry,Toffolo,Charlotte FC,Left-back,900000.0,1020000.0
Henry,Kessler,Charlotte FC,Center-back,850000.0,965525.0
Idan,Toklomati,Charlotte FC,Center Forward,700000.0,781500.0
Isaac,Walker,Charlotte FC,Goalkeeper,113400.0,121376.0
Jack,Neeley,Charlotte FC,Center-back,140000.0,142000.0
Kerwin,Vargas,Charlotte FC,Right Wing,650000.0,733750.0
Kristijan,Kahlina,Charlotte FC,Goalkeeper,775000.0,813750.0
Liel,Abada,Charlotte FC,Right Wing,2500000.0,2648500.0
Luca,de la Torre,Charlotte FC,Central Midfield,1457386.0,1611827.0
Mikah,Thomas,Charlotte FC,Left-back,88025.0,88428.0
Morrison,Agyemang,Charlotte FC,Center-back,240000.0,262080.0
Nathan,Byrne,Charlotte FC,Right-back,475000.0,498750.0
Nick,Holliday,Charlotte FC,Goalkeeper,88025.0,88025.0
Nimfasha,Berchimas,Charlotte FC,Left Wing,150000.0,164934.0
Pep,Biel,Charlotte FC,Attacking Midfield,2775000.0,3015563.0
Tim,Ream,Charlotte FC,Center-back,1000000.0,1127750.0
Tyger,Smalls,Charlotte FC,Right Wing,113400.0,113400.0
Tyler,Miller,Charlotte FC,Goalkeeper,226800.0,250925.0
Wilfried,Zaha,Charlotte FC,Left Wing,2666667.0,2751667.0
Will,Cleary,Charlotte FC,Right-back,88025.0,89309.0
Rodolfo,Aloko,Charlotte FC,Right Wing,220000.0,251667.0
André,Franco,Chicago Fire,Attacking Midfield,1200000.0,1306771.0
Andrew,Gutman,Chicago Fire,Left-back,625000.0,625000.0
Anton,Salétros,Chicago Fire,Central Midfield,700000.0,750000.0
Chris,Mueller,Chicago Fire,Right Wing,150000.0,186600.0
Chris,Brady,Chicago Fire,Goalkeeper,250000.0,348333.0
Christopher,Cupps,Chicago Fire,Center-back,113400.0,116186.0
David,Poreba,Chicago Fire,Attacking Midfield,88025.0,98858.0
Dean,Boltz,Chicago Fire,Center Forward,88025.0,90025.0
Djé,D'Avilla,Chicago Fire,Defensive Midfield,573000.0,685486.0
Dylan,Borso,Chicago Fire,Right Wing,113400.0,121400.0
Hugo,Cuypers,Chicago Fire,Center Forward,3238000.0,3528044.0
Jack,Elliott,Chicago Fire,Center-back,960511.0,1054275.0
Jason,Shokalook,Chicago Fire,Center Forward,88025.0,88025.0
Jeff,Gal,Chicago Fire,Goalkeeper,150000.0,165000.0
Joel,Waterman,Chicago Fire,Center-back,517000.0,598150.0
Jonathan,Dean,Chicago Fire,Right-back,175000.0,210700.0
Jonathan,Bamba,Chicago Fire,Left Wing,5000000.0,5581806.0
Josh,Cohen,Chicago Fire,Goalkeeper,165000.0,181250.0
Leonardo,Barroso,Chicago Fire,Right-back,350000.0,395500.0
Maren,Haile-Selassie,Chicago Fire,Right Midfield,444000.0,483500.0
Mauricio,Pineda,Chicago Fire,Center-back,200000.0,320157.0
Mbekezeli,Mbokazi,Chicago Fire,Center-back,593000.0,655620.0
Omari,Glasgow,Chicago Fire,Right Midfield,113400.0,127085.0
Philip,Zinckernagel,Chicago Fire,Right Wing,1455125.0,1635665.0
Puso,Dithejane,Chicago Fire,Right Wing,250000.0,283252.0
Robert,Turdean,Chicago Fire,Attacking Midfield,125000.0,157927.0
Robin,Lod,Chicago Fire,Central Midfield,800000.0,866667.0
Sam,Williams,Chicago Fire,Defensive Midfield,88025.0,99354.0
Sam,Rogers,Chicago Fire,Center-back,200000.0,223000.0
Sergio,Oregel,Chicago Fire,Central Midfield,350000.0,392500.0
Viktor,Radojević,Chicago Fire,Left-back,350000.0,357000.0
Adam,Beaudry,Colorado Rapids,Goalkeeper,113400.0,115900.0
Alex,Harris,Colorado Rapids,Right Wing,88025.0,90025.0
Alexis,Manyoma,Colorado Rapids,Left Wing,654000.0,711750.0
Ali,Fadal,Colorado Rapids,Central Midfield,113400.0,113400.0
Bryce,Jamison,Colorado Rapids,Right Wing,113400.0,125866.0
Connor,Ronan,Colorado Rapids,Central Midfield,510000.0,562400.0
Dante,Sealy,Colorado Rapids,Right Wing,150000.0,168022.0
Darren,Yapi,Colorado Rapids,Center Forward,795000.0,820000.0
Donavan,Phillip,Colorado Rapids,Center Forward,88025.0,88025.0
Georgi,Minoungou,Colorado Rapids,Right Wing,113400.0,113400.0
Hamzat,Ojediran,Colorado Rapids,Defensive Midfield,800000.0,881667.0
Ian,Murphy,Colorado Rapids,Center-back,400000.0,447500.0
Jackson,Travis,Colorado Rapids,Left-back,125000.0,127500.0
Josh,Atencio,Colorado Rapids,Defensive Midfield,462500.0,462500.0
Keegan,Rosenberry,Colorado Rapids,Right-back,300000.0,300000.0
Kimani,Stewart-Baynes,Colorado Rapids,Left Wing,115000.0,116000.0
Kosi,Thompson,Colorado Rapids,Right-back,140000.0,145260.0
Lucas,Herrington,Colorado Rapids,Center-back,200004.0,235004.0
Mamadou Billo,Diop,Colorado Rapids,Center Forward,88025.0,88025.0
Miguel,Navarro,Colorado Rapids,Left-back,498000.0,548781.0
Nicolas,Hansen,Colorado Rapids,Goalkeeper,160000.0,160000.0
Noah,Cobb,Colorado Rapids,Center-back,130000.04,130000.04
Paxten,Aaronson,Colorado Rapids,Attacking Midfield,2000000.0,2228063.0
Rafael,Navarro Leal,Colorado Rapids,Center Forward,1392000.0,1449600.0
Reggie,Cannon,Colorado Rapids,Right-back,750000.0,841500.0
Rob,Holding,Colorado Rapids,Center-back,1200000.0,1200000.0
Sydney,Wathuta,Colorado Rapids,Central Midfield,88025.0,88025.0
Theodore,Ku-DiPietro,Colorado Rapids,Attacking Midfield,500000.0,556000.0
Wayne,Frederick,Colorado Rapids,Central Midfield,113400.0,113400.0
Zack,Steffen,Colorado Rapids,Goalkeeper,1100000.0,1100000.0
Amar,Sejdić,Columbus Crew,Defensive Midfield,200000.0,214550.0
André,Gomes,Columbus Crew,Central Midfield,875000.0,971944.0
Andrés,Herrera,Columbus Crew,Right-back,650000.0,727632.0
Cesar,Ruvalcaba,Columbus Crew,Center-back,113400.0,113400.0
Chase,Adams,Columbus Crew,Center Forward,88025.0,114303.0
Cole,Mrowka,Columbus Crew,Central Midfield,113400.0,133408.0
Dániel,Gazdag,Columbus Crew,Attacking Midfield,2049996.0,2647635.0
Diego,Rossi,Columbus Crew,Attacking Midfield,2775000.0,3476827.0
Dylan,Chambost,Columbus Crew,Central Midfield,600000.0,695250.0
Evan,Bush,Columbus Crew,Goalkeeper,113400.0,113400.0
Hugo,Picard,Columbus Crew,Left Midfield,725000.0,781244.0
Jamal,Thiaré,Columbus Crew,Center Forward,500000.0,530000.0
Luke,Pruter,Columbus Crew,Goalkeeper,113400.0,113400.0
Malte,Amundsen,Columbus Crew,Center-back,675000.0,747500.0
Max,Arfsten,Columbus Crew,Left Wing,800000.0,895000.0
Mohamed,Farsi,Columbus Crew,Right Midfield,500000.0,530000.0
Nariman,Akhundzada,Columbus Crew,Center Forward,550000.0,633389.0
Nicholas,Hagen,Columbus Crew,Goalkeeper,165000.0,183600.0
Owen,Presthus,Columbus Crew,Right-back,88025.0,94216.0
Patrick,Schulte,Columbus Crew,Goalkeeper,900000.0,1032083.0
Quinton,Elliot,Columbus Crew,Right Midfield,88025.0,92668.0
Rudy,Camacho,Columbus Crew,Center-back,350000.0,415000.0
Sean,Zawadzki,Columbus Crew,Central Midfield,800000.0,900500.0
Sekou,Bangoura,Columbus Crew,Central Midfield,450000.0,542167.0
Stanislav,Lapkes,Columbus Crew,Goalkeeper,95400.0,114490.0
Steven,Moreira,Columbus Crew,Right-back,840000.0,922000.0
Taha,Habroune,Columbus Crew,Central Midfield,140000.0,152000.0
Tristan,Brown,Columbus Crew,Left-back,88025.0,92389.0
Wessam,Abou Ali,Columbus Crew,Center Forward,2775000.0,3611750.0
Yevgen,Cheberko,Columbus Crew,Center-back,610000.0,658250.0
Zach,Zengue,Columbus Crew,Midfielder,88025.0,88025.0
Aarón,Herrera,DC United,Right-back,850000.0,945220.0
Alex,Bono,DC United,Goalkeeper,250000.0,262500.0
Brandon,Servania,DC United,Central Midfield,275000.0,303722.0
Caden,Clark,DC United,Attacking Midfield,400000.0,432000.0
Conner,Antley,DC United,Right-back,120000.0,121667.0
Gabriel,Segal,DC United,Center Forward,113400.0,113400.0
Gabriel,Cordeiro Pirani,DC United,Attacking Midfield,800000.0,866700.0
Garrison,Tubbs,DC United,Center-back,113400.0,113400.0
Gavin,Turner,DC United,Attacking Midfield,88025.0,110259.0
Grant,Leveille,DC United,Goalkeeper,88025.0,96750.0
Hakim,Karamoko,DC United,Right Wing,88025.0,88025.0
Hosei,Kijima,DC United,Central Midfield,113400.0,113400.0
Jackson,Hopkins,DC United,Attacking Midfield,157500.0,157833.0
Jacob,Murrell,DC United,Center Forward,113400.0,113400.0
Jared,Stroud,DC United,Left Wing,425000.0,467500.0
João Gabriel,Martins Peglow,DC United,Left Wing,375000.0,626312.0
Joon-hong,Kim,DC United,Goalkeeper,250000.0,349880.0
Jordan,Farr,DC United,Goalkeeper,113400.0,118400.0
Keisuke,Kurokawa,DC United,Left-back,550000.0,615500.0
Kye,Rowles,DC United,Center-back,550000.0,751667.0
Louis,Munteanu,DC United,Center Forward,1190000.0,1634100.0
Lucas,Bartlett,DC United,Center-back,525000.0,585625.0
Matti,Peltola,DC United,Defensive Midfield,800000.0,876000.0
Nikola,Marković,DC United,Center-back,88025.0,93858.0
Oscar,Avilez,DC United,Left Wing,88025.0,108966.0
Richie,Aman,DC United,Midfielder,88025.0,89025.0
Sean,Johnson,DC United,Goalkeeper,883475.0,883475.0
Sean,Nealis,DC United,Center-back,650000.0,723750.0
Silvan,Hefti,DC United,Right-back,370000.0,434833.0
Tai,Baribo,DC United,Center Forward,2100000.0,2349000.0
Ademar,Chávez,FC Cincinnati,Attacking Midfield,88025.0,113840.0
Alvas,Powell,FC Cincinnati,Right-back,285000.0,325750.0
Andrei,Chirilă,FC Cincinnati,Center-back,88025.0,98373.0
Ayoub,Jabbari,FC Cincinnati,Center Forward,420000.0,474800.0
Brian,Schaefer,FC Cincinnati,Center-back,113400.0,120067.0
Bryan,Ramírez,FC Cincinnati,Right Wing,435000.0,684100.0
Ender,Echenique,FC Cincinnati,Right Wing,356400.0,446580.0
Evan,Louro,FC Cincinnati,Goalkeeper,237500.0,259635.0
Evander,da Silva Ferreira,FC Cincinnati,Attacking Midfield,3200000.0,4736411.0
Fabian,Mrozek,FC Cincinnati,Goalkeeper,113400.0,150900.0
Gerardo,Valenzuela,FC Cincinnati,Attacking Midfield,125000.0,142542.0
Gilberto,Flores,FC Cincinnati,Center-back,390000.0,436672.0
Kenji,Mboma Dem,FC Cincinnati,Center Forward,88025.0,88025.0
Kévin,Denkey,FC Cincinnati,Center Forward,3800000.0,3810000.0
Kristian,Fletcher,FC Cincinnati,Center Forward,113400.0,126733.0
Kyle,Smith,FC Cincinnati,Right-back,113400.0,118400.0
Matt,Miazga,FC Cincinnati,Center-back,1639000.0,1639000.0
Miles,Robinson,FC Cincinnati,Center-back,3500000.0,3950000.0
Nick,Hagglund,FC Cincinnati,Center-back,113400.0,130067.0
Obinna,Nwobodo,FC Cincinnati,Defensive Midfield,1500000.0,1849724.0
Paul,Walters,FC Cincinnati,Goalkeeper,113400.0,121367.0
Pavel,Bucha,FC Cincinnati,Central Midfield,499992.0,548774.0
Roman,Celentano,FC Cincinnati,Goalkeeper,525000.0,574000.0
Samuel,Gidi,FC Cincinnati,Central Midfield,600000.0,671050.0
Ștefan,Chirilă,FC Cincinnati,Center Forward,113400.0,128180.0
Stiven,Jimenez,FC Cincinnati,Central Midfield,113400.0,113400.0
Tah,Anunga,FC Cincinnati,Central Midfield,250000.0,262500.0
Teenage,Hadebe,FC Cincinnati,Center-back,1080000.0,1230000.0
Tom,Barlow,FC Cincinnati,Center Forward,113400.0,121733.0
Álvaro,Augusto,FC Dallas,Center-back,113400.0,125518.0
Anderson,Julio,FC Dallas,Right Wing,750000.0,820000.0
Bernard,Kamungo,FC Dallas,Right Wing,250000.0,281000.0
Brooks,Thompson,FC Dallas,Goalkeeper,113400.0,113400.0
Caleb,Swann,FC Dallas,Central Midfield,88025.0,88025.0
Christian,Cappis,FC Dallas,Central Midfield,352000.0,352000.0
Daniel,Baran,FC Dallas,Right Wing,88025.0,102241.0
Diego,García,FC Dallas,Central Midfield,88025.0,101666.0
Enes,Sali,FC Dallas,Left Wing,350000.0,395000.0
Enzo,Newman,FC Dallas,Right-back,88025.0,88025.0
Geovane,de Jesus Rocha,FC Dallas,Right-back,400000.0,447000.0
Herman,Johansson,FC Dallas,Right Midfield,600000.0,740000.0
Jaidyn,Contreras,FC Dallas,Left Wing,88025.0,88025.0
Joaquín,Valiente,FC Dallas,Attacking Midfield,400000.0,442022.0
Jonathan,Sirois,FC Dallas,Goalkeeper,250000.0,267625.0
Joshua,Torquato,FC Dallas,Left-back,88025.0,96025.0
Kaick,da Silva Ferreira,FC Dallas,Defensive Midfield,200000.0,251900.0
Kaka,Scabin,FC Dallas,Center-back,88025.0,88025.0
Lalas,Abubakar,FC Dallas,Center-back,460000.0,495000.0
Logan,Farrington,FC Dallas,Center Forward,350000.0,417000.0
Louicius,Deedson,FC Dallas,Right Wing,400000.0,450319.0
Michael,Collodi,FC Dallas,Goalkeeper,113400.0,125825.0
Nicholas,Simmonds,FC Dallas,Center Forward,88025.0,102704.0
Nolan,Norris,FC Dallas,Left-back,200000.0,218642.0
Osaze,Urhoghide,FC Dallas,Center-back,580000.0,643982.0
Patrickson,Delgado,FC Dallas,Defensive Midfield,260000.0,286280.0
Petar,Musa,FC Dallas,Center Forward,2450000.0,2880000.0
Ramiro,Moschen Benetti,FC Dallas,Central Midfield,575000.0,575000.0
Ran,Binyamin,FC Dallas,Central Midfield,275000.0,302083.0
Ricky,Louis,FC Dallas,Center Forward,88025.0,88858.0
Sam,Sarver,FC Dallas,Right Wing,113400.0,113400.0
Santiago,Moreno,FC Dallas,Right Wing,803125.0,938387.0
Sebastien,Ibeagha,FC Dallas,Center-back,730000.0,793625.0
Shaq,Moore,FC Dallas,Right-back,800000.0,870000.0
Slade,Starnes,FC Dallas,Center-back,88025.0,93472.0
Tsiki,Ntsabeleng,FC Dallas,Attacking Midfield,230000.0,257000.0
Agustin,Resch,Houston Dynamo,Center-back,88025.0,88025.0
Agustín,Bouzat,Houston Dynamo,Defensive Midfield,624996.0,705746.0
Antônio Carlos,Cunha Capocasali Junior,Houston Dynamo,Center-back,750000.0,832676.0
Blake,Gillingham,Houston Dynamo,Goalkeeper,88025.0,88025.0
Diadié,Samassékou,Houston Dynamo,Defensive Midfield,714996.0,771871.0
Duane,Holmes,Houston Dynamo,Right Midfield,550000.0,628000.0
Erik,Sviatchenko,Houston Dynamo,Center-back,850000.0,925000.0
Exon,Arzú,Houston Dynamo,Right Wing,113400.0,117998.0
Ezequiel,Ponce,Houston Dynamo,Center Forward,2738012.0,3000212.0
Felipe,de Andrade Vieira,Houston Dynamo,Center-back,225000.0,252500.0
Franco,Negri,Houston Dynamo,Left-back,113400.0,115605.0
Guilherme Augusto,Vieira dos Santos,Houston Dynamo,Left Wing,1528572.0,1925230.0
